decade,rank,root,count
1980s,1,בוא,198
1980s,2,אמר,134
1980s,3,הלך,126
1980s,4,רקד,119
1980s,5,רצי,118
1980s,6,ראי,110
1980s,7,נתן,87
1980s,8,ידע,83
1980s,9,עבר,81
1980s,10,חזר,72
1980s,11,אהב,69
1980s,12,עשׂי,65
1980s,13,היי,63
1980s,14,לקח,59
1980s,15,שׁיר,58
1980s,16,שׁאר,55
1980s,17,מצא,53
1980s,18,נגע,50
1980s,19,שׁכח,49
1980s,20,עלי,49
1980s,21,יצא,48
1980s,22,שׁמע,47
1980s,23,ישׁב,43
1980s,24,קרא,42
1980s,25,חשׁב,41
1980s,26,בכי,40
1980s,27,חפשׂ,36
1980s,28,נגד,36
1980s,29,זכר,36
1980s,30,עוף,31
1980s,31,ירד,30
1980s,32,עמד,30
1980s,33,שׁאל,29
1980s,34,נגן,28
1980s,35,רגשׁ,28
1980s,36,נפל,27
1980s,37,עזב,27
1980s,38,אבד,27
1980s,39,נשׂא,26
1980s,40,משׁך,25
1980s,41,חכי,25
1980s,42,ספר,25
1980s,43,פגשׁ,25
1980s,44,שׁוב,24
1980s,45,בקשׁ,24
1980s,46,תחל,24
1980s,47,קום,23
1980s,48,צחק,23
1980s,49,כבי,23
1980s,50,כנס,23
2000s,1,בוא,266
2000s,2,ראי,211
2000s,3,ידע,137
2000s,4,רצי,136
2000s,5,הלך,127
2000s,6,אמר,118
2000s,7,נתן,99
2000s,8,שׁאר,93
2000s,9,אהב,90
2000s,10,עשׂי,89
2000s,11,עבר,78
2000s,12,היי,76
2000s,13,חזר,76
2000s,14,נגע,75
2000s,15,דבר,74
2000s,16,נגד,62
2000s,17,רגשׁ,62
2000s,18,חשׁב,58
2000s,19,קרי,57
2000s,20,מצא,53
2000s,21,זכר,52
2000s,22,רוץ,52
2000s,23,בכי,50
2000s,24,עלי,49
2000s,25,נפל,48
2000s,26,ישׁב,46
2000s,27,יצא,45
2000s,28,שׁמע,45
2000s,29,חכי,44
2000s,30,קרא,40
2000s,31,שׁני,39
2000s,32,עמד,38
2000s,33,ירד,38
2000s,34,תחל,37
2000s,35,משׁך,35
2000s,36,שׁאל,33
2000s,37,בון,33
2000s,38,שׁיר,33
2000s,39,לקח,32
2000s,40,גמר,31
2000s,41,נסי,31
2000s,42,חיי,30
2000s,43,עוף,30
2000s,44,ספר,30
2000s,45,ישׁן,30
2000s,46,פסק,28
2000s,47,הפך,27
2000s,48,כתב,27
2000s,49,רום,27
2000s,50,עזב,26
2020s,1,בוא,426
2020s,2,ראי,214
2020s,3,עשׂי,200
2020s,4,נגד,194
2020s,5,רצי,189
2020s,6,ידע,177
2020s,7,הלך,161
2020s,8,אמר,140
2020s,9,אהב,128
2020s,10,נתן,124
2020s,11,היי,115
2020s,12,חזר,103
2020s,13,נגע,96
2020s,14,דבר,90
2020s,15,יצא,87
2020s,16,לקח,85
2020s,17,עבר,81
2020s,18,גמר,78
2020s,19,נפל,78
2020s,20,,78
2020s,21,חפשׂ,77
2020s,22,חשׁב,71
2020s,23,זכר,70
2020s,24,מצא,70
2020s,25,שׁאר,68
2020s,26,רגשׁ,65
2020s,27,עלי,63
2020s,28,חכי,63
2020s,29,שׁבר,58
2020s,30,בכי,55
2020s,31,שׂים,55
2020s,32,פחד,52
2020s,33,בון,52
2020s,34,רקד,51
2020s,35,עזב,51
2020s,36,שׁתי,50
2020s,37,כתב,46
2020s,38,שׁיר,46
2020s,39,שׁני,46
2020s,40,קרי,45
2020s,41,קשׁב,44
2020s,42,הפך,44
2020s,43,קרא,44
2020s,44,פסק,42
2020s,45,בקשׁ,42
2020s,46,נסי,42
2020s,47,שׁאל,41
2020s,48,פתח,39
2020s,49,חיי,39
2020s,50,שׁכח,38
