feature,mean_difference,1980s_mean,2000s_mean,2020s_mean
char_count,316.93637055837564,594.155,651.425,911.0913705583756
word_count,67.291269035533,118.46,130.095,185.751269035533
unique_word_count,23.08256345177665,75.755,83.795,98.83756345177665
english_char_count,18.29687817258883,0.495,6.11,18.79187817258883
repeated_words_count,15.36984771573604,19.62,21.25,34.98984771573604
line_count,11.758350253807105,28.465,28.985,40.223350253807105
repeated_lines_count,6.612258883248732,4.55,4.205,10.817258883248732
second_person_count,6.023324873096447,3.865,4.97,9.888324873096447
first_person_singular_count,5.681700507614214,4.765,6.295,10.446700507614214
unique_lines_count,5.491091370558376,23.915,24.78,29.406091370558375
most_common_word_count,4.539974619289341,8.32,8.125,12.66497461928934
last_word_unique_count,4.442791878172589,21.41,22.365,25.85279187817259
max_words_per_line,2.2490862944162435,6.69,7.275,8.939086294416244
parenthesis_count,2.1756345177664973,0.2,0.35,2.3756345177664975
punctuation_count,1.9399999999999995,14.51,16.45,15.284263959390863
third_person_count,1.5149999999999997,4.14,2.625,3.583756345177665
most_repeated_line_count,1.1805837563451775,2.715,2.525,3.7055837563451774
quote_count,1.1403807106598987,0.885,1.545,2.0253807106598987
comma_count,0.7936802030456853,5.755,6.215,5.4213197969543145
question_mark_count,0.6391624365482234,0.305,0.87,0.9441624365482234
avg_words_per_line,0.5472094635606446,4.254517740336179,4.545776357002953,4.8017272038968235
digit_count,0.5442893401015229,0.075,0.1,0.6192893401015228
first_person_plural_count,0.5237817258883248,0.395,0.46,0.9187817258883249
median_words_per_line,0.4703553299492391,4.22,4.5025,4.690355329949239
min_words_per_line,0.3713705583756344,2.19,2.28,1.9086294416243654
exclamation_mark_count,0.2717005076142132,0.175,0.23,0.4467005076142132
chorus_repetition_score,0.18169727961219334,0.24108793473898693,0.21791056729832609,0.3996078469105194
avg_word_length,0.1393939348161215,3.8990624640964033,3.884686122724676,3.759668529280282
repeated_lines_ratio,0.11697398492621452,0.1429999554149568,0.1270181823781535,0.243992167304368
last_word_repetition_ratio,0.11455336747599557,0.23099624391209797,0.21202949461529344,0.326582862091289
repetition_ratio,0.1035248246017284,0.3409566754577854,0.33958997081946796,0.44311479542119636
lexical_diversity,0.1035248246017283,0.6590433245422146,0.6604100291805319,0.5568852045788036
direct_address_score,0.10299590964015182,0.29449833677340664,0.34706363918595684,0.39749424641355846
repeated_words_ratio,0.09791888618836192,0.27409226169196094,0.27260638342540455,0.3705252696137665
avg_last_word_length,0.04694717721444963,4.526828668576282,4.51266688923559,4.479881491361833
we_vs_i_ratio,0.02587963713939881,0.19245526695526696,0.21833490409466577,0.19964837932903812
second_person_ratio,0.022379965449473398,0.03176869091726468,0.040284217968279544,0.05414865636673808
first_person_singular_ratio,0.017137809923161933,0.03895628643562339,0.04875381121668158,0.056094096358785324
english_char_ratio,0.016112680354282812,0.0006587069775920029,0.007355048688926562,0.016771387331874815
third_person_ratio,0.015557080901184805,0.03276797642703522,0.02140620732731683,0.017210895525850412
punctuation_ratio,0.010162266678259669,0.024410575509689426,0.02309478360059993,0.014248308831429758
most_common_word_ratio,0.004951628799065785,0.07153785483209356,0.06658622603302777,0.06726619377977322
nature_words_ratio,0.003563765979219548,0.006752869715923939,0.004397604024980641,0.003189103736704391
time_words_ratio,0.003503541466304591,0.02970025818322475,0.026903522466937696,0.02619671671692016
party_words_ratio,0.0030360375010725998,0.005294314980824941,0.002258277479752341,0.002555226064945135
family_words_ratio,0.002266638027522862,0.00808756122386267,0.00912167477261683,0.010354199251385532
first_person_plural_ratio,0.0020905145068985747,0.003151373797206675,0.0033012758282065903,0.00524188830410525
love_words_ratio,0.001246075641536927,0.004395445784150206,0.005286942992823791,0.004040867351286864
religion_words_ratio,0.0009962482706370162,0.001625419981636455,0.001072868733154978,0.002069117003791994
place_words_ratio,0.0009197432041222428,0.0030804011208417055,0.0023344620802001875,0.00325420528432243
modern_slang_words_ratio,0.000746474259323798,0.0010727379320036395,0.0006414152277169264,0.0013878894870407244
sadness_words_ratio,0.0007029519259874571,0.004071925230378957,0.004269489894824389,0.004774877156366414
army_words_ratio,0.000521048830743514,0.0006421099141728736,0.0008667765507524691,0.00034572772000895517
nostalgia_words_ratio,0.000277445849351533,0.003932863677341507,0.00391300176047378,0.0036554178279899737
old_israeli_words_ratio,8.94606233216252e-05,0.00013193735103847462,0.00017406299218795346,8.460236886632826e-05
